MoveRef,MoveSystemId,MoveID,Trialref,Moveto,Moveexists,Movedate,Movedate_as_date,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"HLA/LA/2","LA",2,"T/LA/10","Bishop",1,,,"LEM","05/18/01 12:47:35","LEM","05/18/01 12:47:46"
"HLA/LA/200","LA",200,"T/LA/2101","Archbishop",1,"11/1633","11/01/33 00:00:00","LEM","09/05/02 15:37:12","jhm","10/03/02 11:46:31"
"HLA/LA/201","LA",201,"T/LA/2102","Archbishop",1,,,"LEM","09/05/02 15:40:29","LEM","09/05/02 15:40:30"
"HLA/LA/202","LA",202,"T/LA/2103","Archbishop",1,,,"LEM","09/05/02 15:42:19","LEM","09/05/02 15:42:21"
"HLA/LA/203","LA",203,"T/LA/2104","Archbishop",1,,,"LEM","09/06/02 14:59:54","LEM","09/06/02 14:59:55"
"HLA/LA/204","LA",204,"T/LA/156","Archbishop",1,"1634","06/01/34 00:00:00","LEM","09/06/02 15:03:25","jhm","10/03/02 11:40:27"
"HLA/LA/205","LA",205,"T/LA/2105","Bishop",1,,,"LEM","09/06/02 15:09:38","LEM","09/06/02 15:09:41"
"HLA/LA/206","LA",206,"T/LA/2109","Bishop",1,,,"LEM","09/09/02 10:49:48","LEM","09/09/02 10:49:51"
"HLA/LA/207","LA",207,"T/LA/2110","Bishop",1,,,"LEM","09/09/02 10:51:23","LEM","09/09/02 10:51:27"
"HLA/LA/208","LA",208,"T/LA/2111","Bishop",1,,,"LEM","09/09/02 10:51:48","LEM","09/09/02 10:51:51"
"HLA/LA/209","LA",209,"T/LA/2113","Bishop",1,,,"LEM","09/09/02 11:00:39","LEM","09/09/02 11:00:40"
"HLA/LA/210","LA",210,"T/LA/2114","Archbishop",1,,,"LEM","09/09/02 11:07:44","LEM","10/07/02 11:01:23"
"HLA/LA/211","LA",211,"T/LA/2115","Bishop",1,,,"LEM","09/09/02 11:16:58","LEM","09/09/02 11:16:59"
"HLA/LA/212","LA",212,"T/LA/2116","Bishop",1,,,"LEM","09/09/02 11:30:38","LEM","09/09/02 11:30:40"
"HLA/LA/213","LA",213,"T/LA/2117","Bishop",1,,,"LEM","09/09/02 11:33:24","LEM","09/09/02 11:33:27"
"HLA/LA/214","LA",214,"T/LA/2118","Bishop",1,,,"LEM","09/09/02 11:36:21","LEM","09/09/02 11:36:23"
"HLA/LA/215","LA",215,"T/LA/2119","Bishop",1,,,"LEM","09/09/02 11:38:29","LEM","09/09/02 11:38:32"
"HLA/LA/216","LA",216,"T/LA/2126","Archbishop",1,,,"LEM","09/09/02 12:00:18","LEM","09/09/02 12:00:20"
"HLA/LA/217","LA",217,"T/LA/2129","Archbishop",1,,,"LEM","09/09/02 12:22:24","LEM","09/09/02 12:22:26"
"HLA/LA/218","LA",218,"T/LA/2135","Presbytery",1,,,"LEM","09/09/02 12:38:55","LEM","09/09/02 12:38:57"
"HLA/LA/219","LA",219,"T/LA/1006","Presbytery",1,,,"LEM","09/09/02 12:41:23","LEM","09/09/02 12:41:25"
"HLA/LA/22","LA",22,"T/LA/780","Bishop",1,,,"LEM","09/06/01 12:42:39","LEM","09/06/01 12:42:45"
"HLA/LA/221","LA",221,"T/LA/2134","Bishop",1,,,"LEM","10/07/02 10:33:30","LEM","10/07/02 10:33:35"
"HLA/LA/222","LA",222,"T/LA/2112","Archbishop",1,,,"LEM","10/07/02 11:15:10","LEM","10/07/02 11:15:14"
"HLA/LA/223","LA",223,"T/LA/2089","Archbishop",1,,,"LEM","10/07/02 11:40:34","LEM","10/07/02 11:40:37"
"HLA/LA/224","LA",224,"T/JO/375","Presbytery",1,,,"LEM","10/29/02 10:02:12","LEM","10/29/02 10:02:16"
"HLA/LA/225","LA",225,"T/JO/376","Presbytery",1,,,"LEM","10/29/02 10:03:05","LEM","10/29/02 10:03:08"
"HLA/LA/23","LA",23,"T/LA/800","Archbishop",1,,,"LEM","09/06/01 16:14:03","LEM","09/06/01 16:14:10"
"HLA/LA/235","LA",235,"T/JO/2117","Synod",1,,,"LEM","10/30/02 11:18:05","LEM","10/30/02 11:18:13"
"HLA/LA/236","LA",236,"T/JO/1143","Local magistrate",1,,,"LEM","10/31/02 17:00:49","LEM","10/31/02 17:00:55"
"HLA/LA/237","LA",237,"T/JO/1142","Local magistrate",1,,,"LEM","10/31/02 17:03:46","LEM","10/31/02 17:03:49"
"HLA/LA/238","LA",238,"T/JO/1141","Local magistrate",1,,,"LEM","10/31/02 17:05:26","LEM","10/31/02 17:05:29"
"HLA/LA/239","LA",239,"T/JO/537","Local magistrate",1,,,"LEM","11/01/02 11:31:09","LEM","11/01/02 11:31:12"
"HLA/LA/240","LA",240,"T/JO/531","Local magistrate",1,,,"LEM","11/01/02 11:38:43","LEM","11/01/02 11:38:47"
"HLA/LA/241","LA",241,"T/JO/527","Presbytery",1,,,"LEM","11/01/02 14:03:22","LEM","11/01/02 14:03:25"
"HLA/LA/242","LA",242,"T/JO/532","Local magistrate",1,,,"LEM","11/01/02 14:38:21","LEM","11/01/02 14:38:26"
"HLA/LA/243","LA",243,"T/JO/533","Local laird",1,,,"LEM","11/01/02 14:39:57","LEM","11/01/02 14:40:00"
"HLA/LA/244","LA",244,"T/JO/348","Presbytery",1,,,"LEM","11/01/02 15:18:14","LEM","11/01/02 15:18:15"
"HLA/LA/245","LA",245,"T/JO/345","Local magistrate",1,,,"LEM","11/01/02 15:22:23","LEM","11/01/02 15:22:28"
"HLA/LA/246","LA",246,"T/JO/344","Local magistrate",1,,,"LEM","11/01/02 15:23:08","LEM","11/01/02 15:23:12"
"HLA/LA/247","LA",247,"T/JO/328","Local laird",1,,,"LEM","11/01/02 15:30:50","LEM","11/01/02 15:30:52"
"HLA/LA/248","LA",248,"T/JO/326","Local laird",1,,,"LEM","11/01/02 15:33:28","LEM","11/01/02 15:33:30"
"HLA/LA/249","LA",249,"T/JO/192","Local magistrate",1,,,"LEM","11/01/02 15:49:59","LEM","11/01/02 15:50:02"
"HLA/LA/250","LA",250,"T/JO/191","Local magistrate",1,,,"LEM","11/01/02 15:50:25","LEM","11/01/02 15:50:28"
"HLA/LA/251","LA",251,"T/LA/475","Bishop",1,,,"LEM","11/04/02 10:30:22","LEM","11/04/02 10:30:25"
"HLA/LA/252","LA",252,"T/LA/231","Bishop",1,,,"LEM","11/05/02 13:59:20","LEM","11/05/02 13:59:22"
"HLA/LA/253","LA",253,"T/LA/1126","Presbytery",1,,,"LEM","11/06/02 10:11:30","LEM","11/06/02 10:11:34"
"HLA/LA/254","LA",254,"T/LA/1126","Justice of the Peace",1,,,"LEM","11/06/02 10:11:35","LEM","11/06/02 10:11:38"
"HLA/LA/28","LA",28,"T/LA/999","Archbishop",1,"13/4/1632","04/13/32 00:00:00","LEM","10/16/01 11:53:34","LEM","10/16/01 11:53:49"
"HLA/LA/29","LA",29,"T/LA/1056","Presbytery",1,"13/6/1649","06/13/49 00:00:00","LEM","10/19/01 15:32:00","LEM","10/19/01 15:32:15"
"HLA/LA/3","LA",3,"T/LA/74","Archbishop of Glasgow",1,,,"LEM","06/08/01 11:34:50","LEM","06/08/01 11:35:04"
"HLA/LA/56","LA",56,"T/LA/1404","Sheriff Court",1,"6/6/1615","06/06/15 00:00:00","LEM","06/17/02 16:16:40","LEM","06/17/02 16:16:57"
"HLA/LA/65","LA",65,"T/LA/1501","Presbytery",1,,,"LEM","07/10/02 10:03:17","LEM","07/10/02 10:03:27"
"HLA/LA/66","LA",66,"T/JO/872","Presbytery",1,"1/1650","01/01/50 00:00:00","LEM","07/10/02 10:20:37","LEM","07/10/02 10:20:49"
"HLA/LA/67","LA",67,"T/LA/1502","Presbytery",1,,,"LEM","07/10/02 10:36:35","LEM","07/10/02 10:36:47"
"HLA/LA/68","LA",68,"T/LA/1503","Presbytery",1,,,"LEM","07/10/02 10:48:48","LEM","07/10/02 10:48:52"
"HLA/LA/69","LA",69,"T/LA/1504","Presbytery",1,,,"LEM","07/10/02 13:27:42","LEM","07/10/02 13:27:47"
"HLA/LA/70","LA",70,"T/LA/1505","Presbytery",1,,,"LEM","07/10/02 13:36:33","LEM","07/10/02 13:36:50"
"HLA/LA/71","LA",71,"T/LA/1506","Presbytery",1,,,"LEM","07/10/02 13:47:09","LEM","07/10/02 13:47:12"
"HLA/LA/72","LA",72,"T/LA/37","Presbytery",1,,,"LEM","07/10/02 14:21:42","LEM","07/10/02 14:21:46"
"HLA/LA/73","LA",73,"T/LA/157","Lord Advocate",1,"23/11/1643","11/23/43 00:00:00","LEM","07/10/02 16:13:01","LEM","07/10/02 16:13:20"
"HLA/LA/74","LA",74,"T/LA/1129","Justice of the Peace",1,"2/2/1658","02/02/58 00:00:00","LEM","07/15/02 10:08:57","LEM","07/15/02 10:09:14"
"HLA/LA/75","LA",75,"T/JO/204","Local magistrate",1,"5/1/1659","01/05/59 00:00:00","LEM","07/18/02 17:04:26","LEM","07/18/02 17:05:04"
"HLA/LA/91","LA",91,"T/LA/1683","Lord Justice General",1,"27/11/1660","11/27/60 00:00:00","LEM","08/01/02 10:25:16","LEM","08/01/02 10:25:44"
"HLA/LA/92","LA",92,"T/LA/1727","Lord Justice General",1,"27/11/1660","11/27/60 00:00:00","LEM","08/01/02 10:28:54","LEM","08/01/02 10:29:06"
"HLA/LA/93","LA",93,"T/LA/1750","Local laird",1,"24/7/1649","07/24/49 00:00:00","LEM","08/02/02 11:47:11","LEM","08/02/02 11:47:25"
"HLA/LA/94","LA",94,"T/LA/1750","Committee of Estates",1,"24/10/1650","10/24/50 00:00:00","LEM","08/02/02 11:47:29","LEM","08/02/02 11:47:48"
